date,prefecture_code,gender,elderly,status,count
2021-04-13,34,F,1,1,10
2021-04-13,34,M,1,1,1
2021-04-13,34,U,NA,1,5
2021-04-13,35,F,1,1,22
2021-04-13,35,M,1,1,12
2021-04-13,35,U,NA,1,15
2021-04-13,36,F,1,1,17
2021-04-13,36,M,1,1,5
2021-04-13,36,U,NA,1,3
2021-04-13,37,F,0,1,5
2021-04-13,37,F,1,1,35
2021-04-13,37,M,0,1,4
2021-04-13,37,M,1,1,7
2021-04-13,37,U,NA,1,14
2021-04-13,38,F,0,1,14
2021-04-13,38,F,1,1,48
2021-04-13,38,M,0,1,9
2021-04-13,38,M,1,1,16
2021-04-13,38,U,NA,1,10
2021-04-13,39,F,0,1,3
2021-04-13,39,M,0,1,3
2021-04-13,40,F,0,1,107
2021-04-13,40,F,1,1,7
2021-04-13,40,M,0,1,33
2021-04-13,40,M,1,1,11
2021-04-13,40,U,NA,1,2
2021-04-13,41,F,0,1,1
2021-04-13,41,F,1,1,16
2021-04-13,41,M,0,1,1
2021-04-13,41,M,1,1,3
2021-04-13,41,U,NA,1,11
2021-04-13,42,F,1,1,112
2021-04-13,42,M,0,1,1
2021-04-13,42,M,1,1,12
2021-04-13,42,U,NA,1,27
2021-04-13,43,F,0,1,3
2021-04-13,43,F,1,1,42
2021-04-13,43,M,0,1,3
2021-04-13,43,M,1,1,9
2021-04-13,43,U,NA,1,18
2021-04-13,44,F,0,1,3
2021-04-13,44,F,1,1,2
2021-04-13,44,M,0,1,2
2021-04-13,44,M,1,1,1
2021-04-13,44,U,NA,1,3
2021-04-13,45,F,0,1,4
2021-04-13,45,F,1,1,22
2021-04-13,45,M,0,1,7
2021-04-13,45,M,1,1,9
2021-04-13,45,U,NA,1,6
2021-04-13,46,F,0,1,5
2021-04-13,46,F,1,1,12
2021-04-13,46,M,0,1,2
2021-04-13,46,M,1,1,3
2021-04-13,46,U,NA,1,2
2021-04-13,47,F,0,1,4
2021-04-13,47,F,1,1,15
2021-04-13,47,M,1,1,6
2021-04-13,47,U,NA,1,4
2021-04-14,01,F,0,1,1
2021-04-14,01,F,1,1,54
2021-04-14,01,M,1,1,41
2021-04-14,01,U,NA,1,13
2021-04-14,02,F,0,1,9
2021-04-14,02,F,1,1,70
2021-04-14,02,M,0,1,1
2021-04-14,02,M,1,1,45
2021-04-14,02,U,NA,1,26
2021-04-14,03,F,0,1,6
2021-04-14,03,F,1,1,61
2021-04-14,03,M,0,1,3
2021-04-14,03,M,1,1,10
2021-04-14,03,U,NA,1,19
2021-04-14,04,F,0,1,21
2021-04-14,04,F,1,1,3
2021-04-14,04,M,0,1,14
2021-04-14,04,M,1,1,2
2021-04-14,04,U,NA,1,1
2021-04-14,05,F,0,1,51
2021-04-14,05,F,1,1,133
2021-04-14,05,M,0,1,24
2021-04-14,05,M,1,1,38
2021-04-14,05,U,NA,1,52
2021-04-14,06,F,0,1,6
2021-04-14,06,F,1,1,29
2021-04-14,06,M,1,1,6
2021-04-14,06,U,NA,1,4
2021-04-14,07,F,0,1,1
2021-04-14,07,F,1,1,97
2021-04-14,07,M,0,1,2
2021-04-14,07,M,1,1,102
2021-04-14,07,U,NA,1,1
2021-04-14,08,F,0,1,45
2021-04-14,08,F,1,1,2
2021-04-14,08,M,0,1,16
2021-04-14,08,M,1,1,2
2021-04-14,08,U,NA,1,2
2021-04-14,09,F,1,1,5
2021-04-14,09,M,1,1,1
2021-04-14,09,U,NA,1,3
2021-04-14,10,F,1,1,7
2021-04-14,10,M,1,1,2
2021-04-14,10,U,NA,1,3
2021-04-14,11,F,0,1,81
2021-04-14,11,F,1,1,129
2021-04-14,11,M,0,1,38
2021-04-14,11,M,1,1,38
2021-04-14,11,U,NA,1,59
2021-04-14,12,F,0,1,4
2021-04-14,12,F,1,1,9
2021-04-14,12,M,0,1,8
2021-04-14,12,M,1,1,4
2021-04-14,12,U,NA,1,1
2021-04-14,13,F,0,1,94
2021-04-14,13,F,1,1,178
2021-04-14,13,M,0,1,71
2021-04-14,13,M,1,1,119
2021-04-14,13,U,NA,1,29
2021-04-14,14,F,0,1,113
2021-04-14,14,F,1,1,213
2021-04-14,14,M,0,1,47
2021-04-14,14,M,1,1,46
2021-04-14,14,U,NA,1,84
2021-04-14,15,F,0,1,22
2021-04-14,15,F,1,1,69
2021-04-14,15,M,0,1,6
2021-04-14,15,M,1,1,17
2021-04-14,15,U,NA,1,20
2021-04-14,16,F,0,1,2
2021-04-14,16,F,1,1,10
2021-04-14,16,M,0,1,1
2021-04-14,16,M,1,1,5
2021-04-14,17,F,0,1,28
2021-04-14,17,F,1,1,1
2021-04-14,17,M,0,1,2
2021-04-14,17,M,1,1,1
2021-04-14,18,F,0,1,6
2021-04-14,18,F,1,1,66
2021-04-14,18,M,0,1,2
2021-04-14,18,M,1,1,18
2021-04-14,18,U,NA,1,27
2021-04-14,19,F,0,1,1
2021-04-14,20,F,0,1,3
2021-04-14,21,F,1,1,16
2021-04-14,21,M,0,1,1
2021-04-14,21,M,1,1,9
2021-04-14,21,U,NA,1,5
2021-04-14,22,F,0,1,356
2021-04-14,22,F,1,1,33
2021-04-14,22,M,0,1,92
2021-04-14,22,M,1,1,11
2021-04-14,22,U,NA,1,5
2021-04-14,23,F,0,1,9
2021-04-14,23,F,1,1,103
2021-04-14,23,M,0,1,1
2021-04-14,23,M,1,1,89
2021-04-14,23,U,NA,1,8
2021-04-14,24,F,0,1,2
2021-04-14,24,F,1,1,3
2021-04-14,24,M,1,1,4
2021-04-14,24,U,NA,1,4
2021-04-14,25,F,0,1,5
2021-04-14,25,F,1,1,36
2021-04-14,25,M,0,1,4
2021-04-14,25,M,1,1,20
2021-04-14,25,U,NA,1,2
2021-04-14,26,F,0,1,38
2021-04-14,26,F,1,1,29
2021-04-14,26,M,0,1,26
2021-04-14,26,M,1,1,2
2021-04-14,26,U,NA,1,9
2021-04-14,27,F,0,1,37
2021-04-14,27,F,1,1,144
2021-04-14,27,M,0,1,28
2021-04-14,27,M,1,1,54
2021-04-14,27,U,NA,1,39
2021-04-14,28,F,0,1,89
2021-04-14,28,F,1,1,35
2021-04-14,28,M,0,1,74
2021-04-14,28,M,1,1,22
2021-04-14,28,U,NA,1,14
2021-04-14,29,F,0,1,7
2021-04-14,29,F,1,1,85
2021-04-14,29,M,0,1,4
2021-04-14,29,M,1,1,22
2021-04-14,29,U,NA,1,23
2021-04-14,30,F,1,1,48
2021-04-14,30,M,1,1,27
2021-04-14,30,U,NA,1,4
2021-04-14,31,F,1,1,1
2021-04-14,32,F,1,1,13
2021-04-14,32,M,0,1,1
2021-04-14,32,M,1,1,2
2021-04-14,32,U,NA,1,8
2021-04-14,33,F,1,1,19
2021-04-14,33,M,0,1,1
2021-04-14,33,M,1,1,7
2021-04-14,33,U,NA,1,11
2021-04-14,34,F,0,1,4
2021-04-14,34,F,1,1,1
2021-04-14,34,M,0,1,3
2021-04-14,34,U,NA,1,2
2021-04-14,35,F,1,1,101
2021-04-14,35,M,1,1,78
2021-04-14,35,U,NA,1,8
2021-04-14,36,F,1,1,15
2021-04-14,36,M,0,1,2
2021-04-14,36,M,1,1,2
2021-04-14,36,U,NA,1,9
2021-04-14,37,F,0,1,4
2021-04-14,37,F,1,1,21
2021-04-14,37,U,NA,1,3
2021-04-14,38,F,0,1,7
2021-04-14,38,F,1,1,61
2021-04-14,38,M,0,1,9
2021-04-14,38,M,1,1,9
2021-04-14,38,U,NA,1,25
2021-04-14,39,F,0,1,7
2021-04-14,39,F,1,1,6
2021-04-14,39,M,0,1,6
2021-04-14,39,M,1,1,7
2021-04-14,39,U,NA,1,1
2021-04-14,40,F,0,1,111
2021-04-14,40,F,1,1,15
2021-04-14,40,M,0,1,42
2021-04-14,40,M,1,1,10
2021-04-14,41,F,0,1,4
2021-04-14,41,F,1,1,5
2021-04-14,41,M,1,1,2
2021-04-14,41,U,NA,1,1
2021-04-14,42,F,0,1,4
